bs,s1,a1,s2,a2,pfn,pfm,mr1,mr2
16,65536,4096,0,0,4,4,0.0010,0.0000
16,131072,1,0,0,0,4,0.2500,0.0000
16,131072,1,0,0,1,4,0.2500,0.0000
16,131072,1,0,0,2,4,0.2500,0.0000
16,131072,1,0,0,3,4,0.0010,0.0000
16,131072,1,0,0,4,4,0.0010,0.0000
16,131072,2,0,0,0,4,0.2500,0.0000
16,131072,2,0,0,1,4,0.2500,0.0000
16,131072,2,0,0,2,4,0.2500,0.0000
16,131072,2,0,0,3,4,0.0010,0.0000
16,131072,2,0,0,4,4,0.0010,0.0000
16,131072,4,0,0,0,4,0.2500,0.0000
16,131072,4,0,0,1,4,0.2500,0.0000
16,131072,4,0,0,2,4,0.2500,0.0000
16,131072,4,0,0,3,4,0.0010,0.0000
16,131072,4,0,0,4,4,0.0010,0.0000
16,131072,8,0,0,0,4,0.2500,0.0000
16,131072,8,0,0,1,4,0.2500,0.0000
16,131072,8,0,0,2,4,0.2500,0.0000
16,131072,8,0,0,3,4,0.0010,0.0000
16,131072,8,0,0,4,4,0.0010,0.0000
16,131072,8192,0,0,4,4,0.0010,0.0000
16,262144,1,0,0,0,4,0.2500,0.0000
16,262144,1,0,0,1,4,0.2500,0.0000
16,262144,1,0,0,2,4,0.2500,0.0000
16,262144,1,0,0,3,4,0.0010,0.0000
16,262144,1,0,0,4,4,0.0010,0.0000
16,262144,2,0,0,0,4,0.2500,0.0000
16,262144,2,0,0,1,4,0.2500,0.0000
16,262144,2,0,0,2,4,0.2500,0.0000
16,262144,2,0,0,3,4,0.0010,0.0000
16,262144,2,0,0,4,4,0.0010,0.0000
16,262144,4,0,0,0,4,0.2500,0.0000
16,262144,4,0,0,1,4,0.2500,0.0000
16,262144,4,0,0,2,4,0.2500,0.0000
16,262144,4,0,0,3,4,0.0010,0.0000
16,262144,4,0,0,4,4,0.0010,0.0000
16,262144,8,0,0,0,4,0.2500,0.0000
16,262144,8,0,0,1,4,0.2500,0.0000
16,262144,8,0,0,2,4,0.2500,0.0000
16,262144,8,0,0,3,4,0.0010,0.0000
16,262144,8,0,0,4,4,0.0010,0.0000
16,262144,16384,0,0,4,4,0.0010,0.0000
16,524288,1,0,0,0,4,0.2500,0.0000
16,524288,1,0,0,1,4,0.2500,0.0000
16,524288,1,0,0,2,4,0.2500,0.0000
16,524288,1,0,0,3,4,0.0010,0.0000
16,524288,1,0,0,4,4,0.0010,0.0000
16,524288,2,0,0,0,4,0.2500,0.0000
16,524288,2,0,0,1,4,0.2500,0.0000
16,524288,2,0,0,2,4,0.2500,0.0000
16,524288,2,0,0,3,4,0.0010,0.0000
16,524288,2,0,0,4,4,0.0010,0.0000
16,524288,4,0,0,0,4,0.2500,0.0000
16,524288,4,0,0,1,4,0.2500,0.0000
16,524288,4,0,0,2,4,0.2500,0.0000
16,524288,4,0,0,3,4,0.0010,0.0000
16,524288,4,0,0,4,4,0.0010,0.0000
16,524288,8,0,0,0,4,0.2500,0.0000
16,524288,8,0,0,1,4,0.2500,0.0000
16,524288,8,0,0,2,4,0.2500,0.0000
16,524288,8,0,0,3,4,0.0010,0.0000
16,524288,8,0,0,4,4,0.0010,0.0000
16,524288,32768,0,0,4,4,0.0010,0.0000
16,1048576,1,0,0,0,4,0.2500,0.0000
16,1048576,1,0,0,1,4,0.2500,0.0000
16,1048576,1,0,0,2,4,0.2500,0.0000
16,1048576,1,0,0,3,4,0.0010,0.0000
16,1048576,1,0,0,4,4,0.0010,0.0000
16,1048576,2,0,0,0,4,0.2500,0.0000
16,1048576,2,0,0,1,4,0.2500,0.0000
16,1048576,2,0,0,2,4,0.2500,0.0000
16,1048576,2,0,0,3,4,0.0010,0.0000
16,1048576,2,0,0,4,4,0.0010,0.0000
16,1048576,4,0,0,0,4,0.2500,0.0000
16,1048576,4,0,0,1,4,0.2500,0.0000
16,1048576,4,0,0,2,4,0.2500,0.0000
16,1048576,4,0,0,3,4,0.0010,0.0000
16,1048576,4,0,0,4,4,0.0010,0.0000
16,1048576,8,0,0,0,4,0.2500,0.0000
16,1048576,8,0,0,1,4,0.2500,0.0000
16,1048576,8,0,0,2,4,0.2500,0.0000
16,1048576,8,0,0,3,4,0.0010,0.0000
16,1048576,8,0,0,4,4,0.0010,0.0000
32,1024,1,0,0,0,4,0.1260,0.0000
32,1024,1,0,0,1,4,0.1260,0.0000
32,1024,1,0,0,2,4,0.1260,0.0000
32,1024,1,0,0,3,4,0.0010,0.0000
32,1024,1,0,0,4,4,0.0010,0.0000
32,1024,2,0,0,0,4,0.1260,0.0000
32,1024,2,0,0,1,4,0.1260,0.0000
32,1024,2,0,0,2,4,0.1260,0.0000
32,1024,2,0,0,3,4,0.0010,0.0000
32,1024,2,0,0,4,4,0.0010,0.0000
32,1024,4,0,0,0,4,0.1260,0.0000
32,1024,4,0,0,1,4,0.1260,0.0000
32,1024,4,0,0,2,4,0.1260,0.0000
